,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
29480,True,0.08,0.38,0.14,False,False,348.05,348.21,0.44,1.0,5.62,0.68
29485,True,0.4,0.17,0.09,False,False,476.78,908.85,0.69,1.0,3.32,0.37
29490,False,0.14,0.26,0.29,False,False,323.34,613.97,0.29,1.0,9.56,0.46
29495,False,0.14,0.2,0.39,False,False,337.18,1041.31,0.42,1.0,14.96,0.73
29500,True,0.56,0.36,0.03,False,False,486.24,973.29,1.09,1.0,1.26,0.73
29505,False,0.45,0.06,0.22,False,True,498.31,856.88,0.32,2.0,6.19,0.77
29510,True,0.38,0.19,0.16,False,False,469.68,733.87,0.26,1.0,3.42,0.67
29514,False,0.19,0.13,0.25,True,False,355.85,465.51,0.75,5.0,6.38,0.38
29515,False,0.28,0.41,0.28,False,True,392.31,591.03,1.25,1.0,10.66,0.66
29520,True,0.13,0.31,0.19,False,False,372.48,448.41,0.59,1.0,6.1,1.16
29525,False,0.0,0.16,0.26,False,False,289.3,191.04,0.16,1.0,7.21,0.74
29530,True,0.16,0.37,0.11,False,True,409.11,228.46,0.21,1.0,3.02,0.79
29535,True,0.21,0.29,0.21,False,False,398.06,635.44,5.21,1.0,6.21,0.79
29540,False,0.12,0.29,0.21,False,False,321.05,428.61,0.62,1.0,6.68,0.38
29545,False,0.11,0.11,0.33,False,False,307.8,349.33,0.18,2.0,9.55,0.8
29550,True,0.11,0.22,0.07,False,False,360.0,229.04,0.22,1.0,2.32,1.16
29555,False,0.22,0.4,0.29,False,False,408.63,668.64,7.12,1.0,7.93,0.81
29560,True,0.15,0.07,0.22,False,False,348.92,346.57,0.4,1.0,6.9,0.73
29565,False,0.28,0.32,0.28,False,False,429.76,895.45,1.52,2.0,8.22,1.16
29570,True,0.35,0.21,0.25,False,False,412.11,396.33,0.07,1.0,9.11,0.78
29575,True,0.32,0.32,0.09,False,False,397.53,433.64,1.01,1.0,2.34,1.05
29580,False,0.09,0.14,0.46,False,False,265.54,372.23,0.14,1.0,11.82,0.78
29585,False,0.09,0.05,0.33,False,False,295.95,271.4,0.23,1.0,8.66,0.75
29590,True,0.23,0.23,0.05,False,False,383.37,445.37,0.23,0.0,0.75,0.61
29595,False,0.11,0.22,0.25,False,False,337.74,637.28,1.18,0.0,8.82,0.43
29600,True,0.07,0.54,0.14,False,True,355.84,378.71,0.68,0.0,4.48,0.68
29605,False,0.0,0.38,0.16,False,False,262.4,152.89,0.73,0.0,5.46,1.05
29610,True,0.26,0.54,0.1,True,False,409.13,501.12,0.61,1.0,4.21,0.89
29615,True,0.4,0.47,0.26,True,False,489.57,612.94,0.66,1.0,6.56,1.06
29620,False,0.07,0.22,0.66,False,False,253.81,467.44,0.58,1.0,16.04,0.51
29625,True,0.58,0.0,0.0,False,False,480.64,367.38,0.29,1.0,0.0,0.39
29630,False,0.1,0.0,0.29,False,False,317.33,112.58,0.1,0.0,4.26,0.48
29635,False,0.0,0.13,0.54,False,False,226.51,167.28,0.54,0.0,9.52,0.45
29640,True,0.27,0.27,0.09,False,False,406.35,364.68,0.76,1.0,2.15,0.63
29645,False,0.21,0.31,0.26,False,True,429.39,634.02,0.77,2.0,6.07,0.93
29650,True,0.1,0.46,0.1,False,False,373.6,360.22,0.62,1.0,2.47,1.29
29655,True,0.57,0.53,0.04,False,False,584.75,822.14,6.5,2.0,1.19,0.49
29660,False,0.27,0.13,0.49,True,False,345.16,472.78,0.62,1.0,10.34,0.93
29665,True,0.25,0.44,0.19,False,False,404.3,233.04,0.51,1.0,1.83,0.57
29670,False,0.13,0.19,0.38,False,False,296.21,241.76,0.51,0.0,4.74,0.82
29675,True,0.22,0.18,0.22,False,False,350.66,322.3,0.13,0.0,6.92,0.88
29680,False,0.22,0.13,0.31,False,False,350.83,384.66,0.04,2.0,8.37,0.35
29685,False,0.05,0.05,0.25,False,False,296.7,271.21,0.45,1.0,6.31,0.65
29690,True,0.25,0.25,0.05,False,False,423.69,407.76,0.4,2.0,1.9,0.5
29695,True,0.13,0.18,0.13,False,False,367.48,254.14,0.66,1.0,3.46,1.42
29700,False,0.31,0.13,0.27,False,False,404.3,388.35,0.84,2.0,6.96,0.89
29705,True,0.4,0.24,0.13,False,True,484.05,765.26,0.24,1.0,5.03,0.54
29710,False,0.1,0.2,0.37,False,False,302.53,458.85,0.84,1.0,9.65,0.61
29715,True,0.61,0.37,0.19,False,False,483.02,1689.13,0.43,1.0,8.75,0.54
29720,False,0.35,0.39,0.3,False,False,392.2,1249.51,1.54,1.0,13.04,0.54
29725,False,0.51,0.13,0.38,False,False,428.63,1097.06,0.47,1.0,14.34,0.47
29730,True,0.19,0.16,0.28,True,False,424.58,572.92,0.16,2.0,8.56,0.41
29735,False,0.1,0.2,0.2,False,False,323.41,347.88,0.54,2.0,7.51,0.82
29740,True,0.12,0.37,0.17,False,False,317.44,314.34,0.72,0.0,4.9,1.11
29745,True,0.16,0.51,0.16,True,False,429.65,771.6,0.66,1.0,4.36,1.25
29750,False,0.39,0.27,0.19,False,False,415.14,724.59,1.36,1.0,5.41,0.74
29755,False,0.27,0.18,0.34,False,False,395.09,1012.3,1.65,3.0,8.97,0.34
29760,True,0.27,0.31,0.12,False,False,458.01,710.19,1.04,3.0,5.0,0.73
29765,True,0.21,0.46,0.42,False,False,350.29,532.89,0.37,1.0,10.47,1.0
29770,False,0.25,0.12,0.29,False,False,334.14,499.5,0.71,1.0,7.1,0.79
29776,True,0.28,0.2,0.2,False,False,452.05,475.67,0.2,1.0,5.39,0.47
29780,False,0.28,0.2,0.24,False,False,386.57,515.71,0.71,0.0,6.18,1.06
29785,True,0.25,0.13,0.21,False,False,416.25,541.35,0.42,2.0,6.21,1.13
29790,False,0.29,0.04,0.46,False,False,354.07,466.96,0.5,1.0,11.38,0.71
29795,True,0.37,0.64,0.2,False,False,453.43,702.58,0.87,1.0,6.56,1.37
29799,False,0.1,0.3,0.37,False,False,338.0,574.12,0.94,2.0,10.38,0.64
29805,True,0.24,0.51,0.12,False,False,459.34,683.19,0.8,2.0,5.64,0.84
29810,False,0.17,0.39,0.29,False,False,342.15,1011.84,2.17,1.0,8.27,0.41
29815,False,0.12,0.24,0.24,False,False,328.44,146.79,0.93,1.0,6.87,1.09
29820,True,0.4,0.81,0.12,False,False,503.52,1040.57,0.85,1.0,2.91,0.32
29825,True,0.64,0.39,0.13,True,False,595.04,818.17,0.13,3.0,3.41,0.52
29830,False,0.26,0.19,0.39,False,False,341.37,370.55,0.45,1.0,7.09,0.32
29835,False,0.23,0.09,0.35,False,False,365.12,510.98,0.49,1.0,12.14,0.64
29840,True,0.38,0.14,0.14,False,False,408.23,662.05,0.23,2.0,6.37,0.75
29845,True,0.3,0.4,0.23,False,False,441.59,1004.45,0.88,2.0,10.67,0.94
29850,False,0.25,0.43,0.13,False,False,397.04,462.76,1.11,1.0,3.26,1.39
29855,True,0.11,0.14,0.29,False,False,337.03,276.9,0.21,1.0,7.2,0.32
29860,False,0.14,0.32,0.29,False,False,322.39,445.31,0.57,2.0,7.63,0.57
29865,False,0.11,0.27,0.27,False,False,335.26,492.3,0.19,1.0,8.92,0.5
29870,True,0.15,0.5,0.15,False,False,387.19,414.64,0.34,1.0,4.99,0.61
29875,True,0.66,0.27,0.0,True,False,536.56,890.44,0.16,1.0,0.0,0.59
29880,False,0.0,0.08,0.47,False,False,238.35,268.9,0.31,0.0,11.47,0.31
29885,True,0.39,0.15,0.2,False,False,434.09,446.67,0.3,1.0,3.65,0.39
29890,False,0.1,0.1,0.3,False,False,288.16,251.21,0.0,0.0,6.46,0.39
29895,True,0.1,0.25,0.05,False,False,339.74,357.53,1.06,0.0,1.62,0.96
29900,False,0.2,0.25,0.4,False,False,405.76,534.07,0.86,1.0,7.08,0.56
29905,False,0.1,0.2,0.27,True,False,327.27,252.81,0.91,1.0,8.83,0.44
29910,True,0.27,0.13,0.17,False,False,421.44,281.83,0.3,2.0,6.0,0.74
29915,False,0.26,0.21,0.34,False,True,347.0,499.74,2.92,1.0,8.45,0.73
29920,True,0.21,0.3,0.09,False,False,428.45,304.89,0.21,1.0,1.42,0.94
29925,False,0.13,0.28,0.06,False,False,318.77,435.51,1.27,1.0,2.66,0.7
29930,True,0.25,0.19,0.16,False,False,407.59,702.09,0.25,1.0,5.66,1.08
29935,False,0.21,0.25,0.29,False,False,388.28,510.76,0.07,2.0,7.79,0.5
29940,True,0.32,0.21,0.04,False,False,452.32,396.39,0.64,1.0,1.25,0.57
29945,False,0.22,0.07,0.47,False,False,352.04,683.87,0.83,1.0,13.45,0.54
29950,True,0.47,0.43,0.11,False,True,535.8,904.85,0.9,1.0,3.69,0.83
29955,True,0.04,0.37,0.12,False,True,376.78,428.91,0.2,1.0,1.5,1.18
29960,False,0.2,0.04,0.2,False,False,369.83,283.39,0.2,2.0,6.41,0.89
29965,False,0.17,0.39,0.28,False,False,361.99,721.16,0.75,1.0,8.42,0.58
29970,True,0.22,0.28,0.22,False,False,407.87,555.12,0.17,2.0,7.81,0.97
29975,False,0.18,0.21,0.21,False,False,324.08,480.14,0.77,1.0,6.12,0.7
29980,True,0.49,0.14,0.14,False,False,459.68,690.86,0.04,1.0,5.83,0.6
29985,True,0.23,0.47,0.2,False,False,406.1,621.14,1.51,1.0,5.8,0.57
29990,False,0.37,0.17,0.3,False,False,463.45,719.46,0.77,3.0,8.34,0.7
29995,True,0.34,0.19,0.19,False,False,484.47,533.53,0.29,1.0,4.79,0.97
30000,False,0.1,0.24,0.58,False,False,276.92,450.99,1.55,1.0,10.93,0.29
30005,False,0.07,0.25,0.18,False,False,280.53,274.58,1.78,1.0,5.91,1.12
30010,True,0.47,0.15,0.07,False,False,545.54,1142.28,0.87,1.0,2.07,1.2
30015,True,0.38,0.35,0.16,False,False,482.08,949.52,1.47,2.0,4.06,1.15
30020,False,0.26,0.35,0.38,False,False,415.05,741.25,1.12,2.0,11.41,0.8
30025,False,0.26,0.26,0.35,True,False,429.74,686.05,0.83,1.0,7.24,0.57
30030,True,0.48,0.35,0.22,False,False,463.46,857.5,0.79,0.0,5.0,0.66
30035,True,0.29,0.24,0.2,True,False,435.55,804.13,0.55,2.0,9.26,1.16
30040,False,0.22,0.26,0.33,False,False,345.4,619.9,0.37,2.0,12.0,0.83
30045,False,0.0,0.2,0.36,False,False,331.16,319.77,0.49,2.0,10.94,0.53
30050,True,0.16,0.08,0.08,False,False,365.6,269.37,0.16,1.0,3.16,0.53
30055,False,0.09,0.28,0.13,False,False,370.59,551.87,1.1,2.0,3.49,0.53
30060,True,0.22,0.13,0.25,False,True,364.56,566.1,0.85,1.0,5.44,0.79
30065,False,0.0,0.11,0.38,False,True,311.67,249.62,0.42,2.0,10.64,0.57
30068,False,0.08,0.19,0.3,False,True,278.22,426.06,0.98,2.0,7.12,1.1
30070,True,0.34,0.53,0.15,False,False,477.77,701.7,1.06,1.0,3.33,1.02
30075,True,0.0,0.0,0.0,False,False,353.87,0.0,0.0,0.0,0.0,0.0
30079,False,0.0,0.0,0.0,False,False,322.91,0.0,0.0,0.0,0.0,0.0
30084,True,0.1,0.31,0.21,False,False,383.87,374.99,0.55,1.0,4.13,1.08
30089,False,0.17,0.21,0.21,False,True,371.0,544.75,0.69,1.0,5.83,0.9
30094,True,0.59,0.25,0.25,False,True,583.36,1141.5,0.28,2.0,5.92,0.59
30099,False,0.19,0.5,0.22,False,False,398.54,743.08,0.59,1.0,7.26,0.34
30104,False,0.38,0.19,0.38,False,False,412.92,725.39,0.54,2.0,12.15,0.48
30109,True,0.41,0.41,0.19,False,False,432.71,998.12,1.3,1.0,7.29,0.54
30114,False,0.21,0.18,0.21,False,False,378.25,305.59,0.76,2.0,7.67,0.91
30119,True,0.42,0.39,0.24,False,False,494.2,804.92,1.36,1.0,6.86,0.73
30124,False,0.17,0.13,0.46,False,False,334.53,400.13,0.59,2.0,10.95,0.55
30129,True,0.42,0.29,0.21,False,False,435.54,532.51,0.42,0.0,6.11,1.22
30134,True,0.25,0.45,0.04,True,False,519.41,504.45,0.82,1.0,0.86,0.98
30139,False,0.04,0.08,0.2,False,False,264.94,373.85,0.78,0.0,4.13,0.65
30144,True,0.35,0.25,0.05,False,True,453.19,367.49,0.35,1.0,1.37,0.96
30149,False,0.05,0.3,0.3,False,False,251.67,247.62,0.76,1.0,4.4,0.51
30154,True,0.26,0.54,0.26,True,False,403.03,823.2,1.02,1.0,7.72,0.45
30159,False,0.1,0.32,0.41,False,False,333.87,416.88,1.12,2.0,9.99,0.32
30164,False,0.07,0.37,0.29,False,False,290.56,447.82,1.0,1.0,8.74,0.44
30169,True,0.48,0.29,0.04,False,True,576.92,855.13,0.74,2.0,1.62,0.59
30174,False,0.15,0.21,0.12,False,False,352.12,389.94,0.44,1.0,2.54,0.74
30179,True,0.12,0.41,0.12,False,False,304.66,258.08,0.86,1.0,3.24,0.83
30184,True,0.27,0.54,0.17,True,False,369.16,720.83,1.89,1.0,4.75,0.61
30189,False,0.13,0.2,0.34,False,False,311.9,358.61,0.4,1.0,9.54,0.37
30194,True,0.11,0.28,0.17,False,False,399.6,476.97,4.92,1.0,2.26,0.91
30199,False,0.17,0.06,0.17,False,False,362.54,356.82,0.51,1.0,2.72,0.96
30204,True,0.47,0.43,0.12,False,False,486.02,710.52,4.58,1.0,2.06,0.85
30209,False,0.27,0.19,0.39,False,False,409.32,543.81,0.35,2.0,11.07,0.66
30214,False,0.37,0.31,0.28,False,False,451.07,981.55,0.88,1.0,9.42,0.6
30219,True,0.37,0.17,0.23,False,True,509.42,847.08,0.51,2.0,9.91,0.54
30222,True,0.2,0.37,0.2,True,False,369.57,918.9,1.71,2.0,6.26,1.79
30224,False,0.08,0.21,0.33,False,False,326.17,263.04,0.83,1.0,8.75,0.83
30229,True,0.21,0.33,0.0,False,False,445.83,332.92,0.67,1.0,0.0,0.42
30234,False,0.0,0.33,0.37,False,False,290.55,326.45,0.7,1.0,9.66,0.37
30239,True,0.17,0.29,0.21,False,False,373.92,366.69,0.5,1.0,5.65,0.78
30244,False,0.19,0.09,0.47,False,False,323.9,379.3,4.84,2.0,8.26,0.56
30249,True,0.66,0.14,0.05,True,False,541.03,772.68,0.28,1.0,1.92,0.8
30254,True,0.23,0.37,0.2,False,False,385.41,497.17,0.77,0.0,5.53,1.13
30259,False,0.2,0.17,0.3,True,False,361.57,610.52,0.73,2.0,10.76,0.3
30264,False,0.3,0.3,0.3,False,False,429.18,643.34,0.85,1.0,8.0,1.02
30269,True,0.36,0.2,0.23,False,False,451.97,754.69,0.92,2.0,7.28,0.49
30274,True,0.3,0.17,0.03,False,False,394.46,413.73,0.74,1.0,0.54,1.14
30279,False,0.13,0.2,0.13,False,False,323.54,588.72,0.94,1.0,3.53,0.4
30284,False,0.62,0.4,0.22,False,False,480.04,893.88,1.72,1.0,7.44,0.48
30289,True,0.48,0.26,0.26,False,False,478.1,755.71,0.95,1.0,7.51,0.7
30294,True,0.35,0.3,0.09,False,False,413.18,694.8,0.48,1.0,2.47,0.74
30299,False,0.09,0.22,0.17,False,False,354.18,463.03,0.74,2.0,4.16,0.56
30304,False,0.16,0.11,0.22,False,False,364.44,360.05,0.33,1.0,3.14,0.54
30309,True,0.11,0.87,0.16,False,False,470.24,531.44,0.6,1.0,3.09,0.54
30314,False,0.21,0.17,0.24,False,False,398.66,633.49,0.55,3.0,9.41,0.62
30319,True,0.24,0.21,0.24,False,False,413.96,456.13,0.83,2.0,8.61,0.9
30324,True,0.23,0.07,0.1,False,False,438.21,565.46,0.37,2.0,4.0,0.6
30329,False,0.23,0.23,0.3,False,False,361.26,807.93,0.57,1.0,9.26,0.37
30334,False,0.07,0.37,0.44,False,False,310.81,463.98,1.42,1.0,13.19,0.99
