,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
312,True,0.25,0.25,0.15,False,False,418.18,382.26,0.59,6.0,4.72,0.93
317,False,0.15,0.15,0.25,True,False,342.6,545.36,0.88,6.0,6.24,0.93
322,False,0.05,0.05,0.35,False,False,325.37,289.71,0.05,6.0,6.68,0.35
327,True,0.59,0.1,0.15,False,False,525.62,842.98,0.0,7.0,4.06,0.45
332,True,0.38,0.38,0.23,False,False,445.64,709.56,0.11,5.0,4.74,0.6
337,False,0.23,0.19,0.19,False,False,403.31,826.6,0.08,6.0,4.44,0.79
342,True,0.26,0.16,0.1,False,False,373.48,855.77,1.14,5.0,3.41,0.45
347,False,0.06,0.1,0.29,False,False,338.12,614.66,0.0,6.0,8.9,0.13
352,False,0.09,0.13,0.4,False,False,334.93,305.1,0.58,5.0,8.7,0.84
357,True,0.31,0.27,0.04,False,False,457.21,501.29,0.22,7.0,0.0,0.53
362,False,0.0,0.0,0.19,False,False,178.16,99.07,0.12,2.0,1.86,0.31
367,True,0.37,0.25,0.0,True,False,557.26,494.79,0.0,7.0,0.0,0.5
372,False,0.21,0.28,0.25,False,False,391.14,809.88,0.64,5.0,6.09,0.64
377,True,0.25,0.21,0.11,False,False,442.97,455.33,0.07,6.0,2.16,0.57
382,False,0.18,0.35,0.32,False,False,337.77,533.58,0.59,5.0,9.11,0.44
387,True,0.32,0.41,0.18,True,False,421.77,564.46,0.12,5.0,5.77,0.64
392,True,0.26,0.32,0.13,True,False,415.36,518.92,0.0,7.0,2.4,0.58
397,False,0.06,0.0,0.13,False,False,309.66,341.09,0.0,7.0,2.59,0.45
402,True,0.17,0.29,0.12,False,False,400.17,584.28,0.0,6.0,4.17,0.78
407,False,0.12,0.21,0.29,False,False,311.93,511.51,0.0,6.0,8.21,0.41
412,True,0.32,0.34,0.23,False,True,420.41,852.4,0.14,5.0,8.67,0.75
417,False,0.09,0.37,0.17,False,False,352.51,552.97,1.23,6.0,4.42,0.57
422,False,0.23,0.23,0.43,False,False,395.48,790.83,0.0,7.0,11.38,0.56
427,True,0.46,0.36,0.16,False,False,532.62,1014.41,0.3,7.0,5.57,0.36
