,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
309,True,0.25,0.2,0.2,False,False,421.28,438.53,0.2,7.0,5.11,0.34
314,False,0.05,0.2,0.25,False,False,301.77,322.75,0.79,6.0,5.6,0.74
319,False,0.1,0.15,0.3,False,True,346.29,490.95,2.32,6.0,7.57,0.45
324,True,0.05,0.4,0.1,False,False,323.84,656.28,1.24,7.0,1.98,0.84
329,True,0.23,0.26,0.15,True,False,387.21,612.08,1.02,5.0,3.5,0.53
334,False,0.19,0.04,0.26,False,False,334.76,684.42,0.9,5.0,7.3,0.83
339,True,0.42,0.16,0.06,False,False,553.69,947.12,0.78,7.0,1.46,1.14
344,False,0.19,0.1,0.23,False,False,351.09,345.66,0.71,5.0,6.3,0.32
349,False,0.13,0.04,0.22,False,False,299.51,433.33,0.09,5.0,5.06,0.58
354,True,0.04,0.22,0.09,False,True,326.72,409.05,0.49,6.0,2.44,0.27
359,False,0.06,0.25,0.37,False,False,285.48,271.77,0.37,5.0,8.75,0.37
364,True,0.12,0.06,0.12,False,False,430.77,331.02,0.68,6.0,1.99,0.37
369,False,0.18,0.43,0.21,False,False,366.74,871.77,0.6,6.0,6.16,0.53
374,True,0.11,0.35,0.11,False,False,360.64,422.17,0.74,5.0,4.0,0.53
379,False,0.15,0.41,0.23,False,False,383.71,645.59,0.18,5.0,7.88,0.5
384,True,0.38,0.26,0.23,False,False,426.46,835.63,1.49,4.0,8.94,0.56
391,True,0.26,0.0,0.06,False,False,416.33,312.38,0.13,9.0,2.07,0.58
394,False,0.06,0.0,0.19,False,False,337.39,230.14,0.32,8.0,4.93,0.84
399,True,0.25,0.17,0.25,True,False,509.33,893.19,0.08,8.0,6.03,0.37
404,False,0.08,0.21,0.25,False,False,321.17,535.45,1.86,6.0,6.6,0.45
409,True,0.26,0.17,0.23,False,False,391.07,837.32,0.43,4.0,6.52,0.72
414,False,0.34,0.2,0.2,False,False,458.05,767.04,0.69,6.0,6.86,0.6
419,False,0.07,0.13,0.13,False,True,297.82,470.94,0.07,5.0,5.38,0.53
424,True,0.07,0.36,0.1,False,False,376.91,598.71,0.49,5.0,3.27,0.53
429,False,0.16,0.29,0.45,False,False,311.89,644.65,0.74,4.0,13.14,0.48
434,True,0.45,0.45,0.22,True,False,539.04,1085.32,0.42,5.0,9.55,0.67
439,False,0.14,0.14,0.25,False,False,367.86,445.68,0.53,5.0,8.15,0.46
444,True,0.25,0.28,0.04,False,False,465.63,625.8,0.53,6.0,1.24,0.96
449,True,0.43,0.23,0.03,False,False,555.91,1022.61,1.13,6.0,1.06,0.66
454,False,0.07,0.2,0.33,False,False,280.81,506.47,0.2,5.0,9.86,0.4
459,True,0.18,0.28,0.07,False,False,382.42,491.49,0.56,6.0,2.68,0.71
464,False,0.04,0.07,0.25,False,False,291.74,375.56,0.74,5.0,8.55,0.35
469,False,0.0,0.0,0.2,False,False,283.77,191.26,0.4,6.0,6.15,0.65
474,True,0.2,0.24,0.0,False,False,407.53,480.57,1.01,6.0,0.0,0.49
479,False,0.16,0.09,0.19,False,False,423.58,576.67,0.28,6.0,7.32,1.28
484,True,0.03,0.34,0.25,False,False,280.86,479.23,0.94,3.0,6.35,0.5
489,False,0.37,0.31,0.21,False,False,467.99,763.54,0.89,6.0,7.92,0.58
494,True,0.25,0.12,0.28,False,False,443.19,680.02,0.98,6.0,8.99,0.46
499,True,0.29,0.53,0.2,False,False,405.75,660.33,0.9,4.0,3.38,0.49
504,False,0.16,0.08,0.2,True,False,304.2,396.74,0.49,4.0,5.75,0.65
509,True,0.14,0.17,0.14,False,False,421.5,1218.67,0.31,8.0,5.71,0.08
514,False,0.17,0.2,0.22,False,False,430.4,786.81,0.62,7.0,8.09,0.64
519,True,0.14,0.07,0.18,False,False,344.33,536.61,1.26,5.0,4.8,0.61
524,False,0.14,0.04,0.14,False,False,337.15,490.51,0.4,6.0,4.22,1.23
529,False,0.07,0.04,0.3,False,False,283.42,357.81,1.0,4.0,7.47,0.33
534,True,0.45,0.3,0.04,False,False,553.31,790.33,0.82,6.0,1.52,0.59
541,True,0.13,0.16,0.19,False,False,374.53,548.93,0.71,6.0,7.67,0.74
544,False,0.19,0.13,0.16,False,False,366.54,652.3,0.78,5.0,4.98,0.84
549,True,0.15,0.22,0.26,False,False,331.28,489.84,0.78,5.0,7.89,0.44
554,False,0.33,0.15,0.07,False,False,400.67,598.07,0.82,5.0,1.59,0.93
559,False,0.09,0.09,0.28,False,False,288.84,332.19,0.47,4.0,9.39,0.45
564,True,0.21,0.24,0.14,False,True,329.2,820.7,1.18,3.0,4.44,0.38
569,False,0.07,0.15,0.41,False,True,414.46,654.01,0.82,7.0,11.78,1.04
