,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
16829,True,0.13,0.1,0.23,False,False,414.22,746.77,0.56,6.0,9.79,0.56
16834,False,0.03,0.1,0.08,False,False,208.14,321.24,0.51,3.0,2.49,0.41
16839,True,0.68,0.3,0.08,False,True,595.48,1130.21,1.14,7.0,3.8,0.59
16844,False,0.04,0.08,0.55,False,False,241.23,323.74,0.55,4.0,12.76,0.34
16849,False,0.27,0.32,0.25,False,False,329.48,688.0,0.54,3.0,8.79,0.42
16854,True,0.12,0.22,0.32,False,False,345.56,700.69,1.23,5.0,12.4,0.52
16859,True,0.32,0.12,0.15,False,False,446.49,773.94,0.27,7.0,5.22,1.06
16864,False,0.03,0.29,0.15,False,False,335.73,683.08,0.91,6.0,4.98,0.65
16869,False,0.1,0.38,0.41,False,False,324.94,690.56,0.21,5.0,11.05,0.48
16874,True,0.21,0.55,0.21,False,False,359.05,523.02,1.06,4.0,7.18,0.62
16879,False,0.0,0.05,0.16,False,True,196.49,190.84,0.32,3.0,3.46,0.48
16884,True,0.21,0.05,0.0,False,False,367.25,397.55,0.69,6.0,0.0,0.37
16889,True,0.09,0.05,0.0,False,False,306.78,85.95,0.23,5.0,0.0,0.63
16894,False,0.14,0.05,0.14,False,False,296.34,399.05,0.45,6.0,5.02,0.9
16899,True,0.38,0.24,0.17,False,False,449.52,799.31,0.72,4.0,5.78,0.45
16904,False,0.1,0.34,0.28,False,False,326.31,643.5,0.48,4.0,9.28,0.58
16909,False,0.07,0.14,0.42,False,False,249.74,429.31,0.0,3.0,12.07,0.35
16914,True,0.66,0.17,0.1,True,False,517.76,1035.52,0.14,6.0,3.47,0.9
16919,True,0.42,0.12,0.09,False,False,465.76,795.15,0.12,7.0,3.1,0.6
16924,False,0.15,0.18,0.27,False,False,334.3,809.98,0.0,4.0,9.16,0.96
16929,True,0.19,0.0,0.09,False,False,440.66,533.94,0.32,9.0,0.97,0.83
16934,False,0.05,0.09,0.14,False,False,331.76,434.82,1.3,7.0,4.91,0.79
16939,False,0.05,0.21,0.53,False,False,239.06,266.56,0.42,3.0,10.81,0.21
16944,True,0.53,0.26,0.0,True,False,463.22,847.96,0.95,6.0,0.0,0.32
16949,True,0.46,0.2,0.1,True,False,525.58,539.19,0.36,6.0,3.15,0.91
16955,False,0.3,0.1,0.56,False,False,473.91,459.95,0.36,7.0,10.0,0.51
16959,False,0.18,0.29,0.22,False,False,419.62,605.05,0.66,6.0,5.72,0.85
16964,True,0.41,0.26,0.18,False,False,514.05,1122.9,1.07,7.0,5.35,1.11
16969,False,0.27,0.42,0.12,False,False,432.97,1546.77,0.59,5.0,5.12,0.56
16974,True,0.12,0.63,0.27,False,False,305.08,698.18,0.9,2.0,11.16,0.48
16979,True,0.36,0.32,0.12,False,False,453.51,1073.67,1.2,4.0,2.83,0.96
16984,False,0.08,0.08,0.28,False,False,251.08,370.28,0.04,4.0,7.01,0.2
16989,False,0.38,0.14,0.26,False,False,386.11,711.06,0.12,3.0,11.18,0.38
