,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
55320,True,0.08,0.32,0.13,False,False,274.37,318.84,0.89,1.0,3.39,2.71
55325,True,0.25,0.5,0.18,False,False,367.76,700.68,0.46,1.0,5.45,2.81
55330,False,0.14,0.29,0.32,False,True,273.71,231.71,0.53,0.0,5.99,0.61
55335,True,0.13,0.76,0.06,False,False,338.78,349.62,0.82,1.0,0.38,1.27
55340,False,0.0,0.06,0.38,False,False,203.55,134.73,0.76,1.0,5.58,0.25
55345,False,0.0,0.28,0.19,False,False,228.77,163.7,0.71,1.0,3.65,1.0
55350,True,0.24,0.47,0.09,False,False,385.26,841.28,2.7,1.0,1.52,1.66
55355,False,0.11,0.34,0.21,True,False,270.38,530.39,1.08,2.0,7.44,1.58
55360,True,0.18,0.58,0.24,False,False,337.57,741.31,0.98,1.0,8.1,1.19
55365,True,0.03,0.98,0.14,False,False,311.77,253.82,1.05,0.0,2.93,2.34
55370,False,0.03,0.7,0.28,False,True,271.64,316.07,1.33,1.0,8.94,0.94
55375,True,0.0,0.73,0.23,False,True,315.18,217.87,1.5,1.0,5.52,1.23
55380,False,0.15,0.5,0.38,False,False,285.31,301.15,1.19,2.0,6.06,0.77
55385,True,0.21,0.49,0.12,True,False,367.49,1014.26,0.51,2.0,4.58,2.4
55390,False,0.14,0.35,0.23,False,False,295.02,926.49,2.26,1.0,7.44,2.12
55395,True,0.0,0.3,0.0,False,True,262.91,151.93,0.59,0.0,0.0,0.0
55399,False,0.3,0.0,0.0,False,False,334.42,188.43,0.0,0.0,0.0,0.0
55404,False,0.18,0.36,0.25,False,False,373.28,689.81,1.41,2.0,7.18,0.51
55409,True,0.07,0.36,0.33,False,False,307.07,361.78,1.52,1.0,7.65,0.73
55414,True,0.04,0.89,0.21,False,False,319.59,312.91,0.5,0.0,4.54,0.97
55419,False,0.21,0.25,0.5,False,False,332.89,795.92,0.5,1.0,11.76,1.64
55424,False,0.05,0.32,0.32,False,False,261.58,188.37,1.36,2.0,6.56,1.04
55429,True,0.18,0.36,0.14,False,False,356.83,635.57,2.17,1.0,2.81,1.49
55434,True,0.16,0.45,0.41,False,False,347.16,520.43,2.32,1.0,8.0,1.67
55439,False,0.24,0.41,0.41,False,False,411.33,888.63,0.85,3.0,10.07,1.75
55444,False,0.12,0.09,0.12,False,False,269.47,354.54,0.41,1.0,3.12,1.09
55449,True,0.16,0.22,0.16,False,False,307.89,661.33,2.18,1.0,3.34,1.93
55454,True,0.1,0.43,0.27,False,False,325.88,539.33,1.59,2.0,7.36,1.26
55459,False,0.03,0.7,0.07,False,False,303.81,221.11,0.56,1.0,1.33,1.99
55464,False,0.08,0.28,0.12,False,False,235.36,206.19,0.96,0.0,3.96,1.36
55474,True,0.04,0.36,0.2,False,False,241.7,357.09,1.34,1.0,3.85,1.9
55479,False,0.04,0.2,0.2,True,False,215.47,134.01,0.93,0.0,2.83,1.34
55484,True,0.11,0.45,0.11,False,False,320.8,374.28,1.28,1.0,3.19,1.2
55489,False,0.11,0.26,0.3,True,False,277.92,522.57,2.33,1.0,7.1,1.35
55494,True,0.07,0.5,0.13,False,False,271.51,185.44,0.87,1.0,3.63,0.81
